
Minimum time:  760	(0.076 ms)

Test #		Time
2461:		835	(0.0835 ms)
2462:		809	(0.0809 ms)
2463:		805	(0.0805 ms)
2464:		897	(0.0897 ms)
2465:		818	(0.0818 ms)
2466:		806	(0.0806 ms)
2467:		841	(0.0841 ms)
2468:		811	(0.0811 ms)
2469:		805	(0.0805 ms)
2470:		802	(0.0802 ms)
2471:		841	(0.0841 ms)
2472:		806	(0.0806 ms)
2473:		803	(0.0803 ms)
2474:		842	(0.0842 ms)
2475:		808	(0.0808 ms)
2476:		805	(0.0805 ms)
2477:		825	(0.0825 ms)
2478:		773	(0.0773 ms)
2479:		793	(0.0793 ms)
2480:		855	(0.0855 ms)
2481:		807	(0.0807 ms)
2482:		800	(0.08 ms)
2483:		841	(0.0841 ms)
2484:		809	(0.0809 ms)
2485:		798	(0.0798 ms)
2486:		836	(0.0836 ms)
2487:		806	(0.0806 ms)
2488:		803	(0.0803 ms)
2489:		820	(0.082 ms)
2490:		774	(0.0774 ms)
2491:		792	(0.0792 ms)
2492:		836	(0.0836 ms)
2493:		810	(0.081 ms)
2494:		800	(0.08 ms)
2495:		785	(0.0785 ms)
2496:		817	(0.0817 ms)
2497:		762	(0.0762 ms)
2498:		774	(0.0774 ms)
2499:		845	(0.0845 ms)
2500:		804	(0.0804 ms)
2501:		799	(0.0799 ms)
2502:		853	(0.0853 ms)
2503:		804	(0.0804 ms)
2504:		799	(0.0799 ms)
2505:		841	(0.0841 ms)
2506:		803	(0.0803 ms)
2507:		806	(0.0806 ms)
2508:		840	(0.084 ms)
2509:		806	(0.0806 ms)
2510:		804	(0.0804 ms)
2511:		849	(0.0849 ms)
2512:		804	(0.0804 ms)
2513:		804	(0.0804 ms)
2514:		855	(0.0855 ms)
2515:		818	(0.0818 ms)
2516:		803	(0.0803 ms)
2517:		841	(0.0841 ms)
2518:		808	(0.0808 ms)
2519:		805	(0.0805 ms)
2520:		837	(0.0837 ms)
2521:		810	(0.081 ms)
2522:		803	(0.0803 ms)
2523:		801	(0.0801 ms)
2524:		841	(0.0841 ms)
2525:		806	(0.0806 ms)
2526:		804	(0.0804 ms)
2527:		852	(0.0852 ms)
2528:		807	(0.0807 ms)
2529:		801	(0.0801 ms)
2530:		844	(0.0844 ms)
2531:		808	(0.0808 ms)
2532:		807	(0.0807 ms)
2533:		841	(0.0841 ms)
2534:		801	(0.0801 ms)
2535:		800	(0.08 ms)
2536:		837	(0.0837 ms)
2537:		807	(0.0807 ms)
2538:		804	(0.0804 ms)
2539:		833	(0.0833 ms)
2540:		765	(0.0765 ms)
2541:		803	(0.0803 ms)
2542:		837	(0.0837 ms)
2543:		805	(0.0805 ms)
2544:		805	(0.0805 ms)
2545:		857	(0.0857 ms)
2546:		808	(0.0808 ms)
2547:		801	(0.0801 ms)
2548:		840	(0.084 ms)
2549:		810	(0.081 ms)
2550:		804	(0.0804 ms)
2551:		843	(0.0843 ms)
2552:		807	(0.0807 ms)
2553:		802	(0.0802 ms)
2554:		805	(0.0805 ms)
2555:		841	(0.0841 ms)
2556:		802	(0.0802 ms)
2557:		805	(0.0805 ms)
2558:		844	(0.0844 ms)
2559:		810	(0.081 ms)
2560:		786	(0.0786 ms)
2561:		829	(0.0829 ms)
2562:		810	(0.081 ms)
2563:		814	(0.0814 ms)
2564:		849	(0.0849 ms)
2565:		806	(0.0806 ms)
2566:		801	(0.0801 ms)
2567:		839	(0.0839 ms)
2568:		810	(0.081 ms)
2569:		807	(0.0807 ms)
2570:		832	(0.0832 ms)
2571:		795	(0.0795 ms)
2572:		801	(0.0801 ms)
2573:		838	(0.0838 ms)
2574:		803	(0.0803 ms)
2575:		800	(0.08 ms)
2576:		1504	(0.1504 ms)
2577:		943	(0.0943 ms)
2578:		820	(0.082 ms)
2579:		875	(0.0875 ms)
2580:		815	(0.0815 ms)
2581:		808	(0.0808 ms)
2582:		848	(0.0848 ms)
2583:		816	(0.0816 ms)
2584:		807	(0.0807 ms)
2585:		847	(0.0847 ms)
2586:		803	(0.0803 ms)
2587:		812	(0.0812 ms)
2588:		844	(0.0844 ms)
2589:		809	(0.0809 ms)
2590:		800	(0.08 ms)
2591:		847	(0.0847 ms)
2592:		805	(0.0805 ms)
2593:		801	(0.0801 ms)
2594:		839	(0.0839 ms)
2595:		804	(0.0804 ms)
2596:		802	(0.0802 ms)
2597:		833	(0.0833 ms)
2598:		803	(0.0803 ms)
2599:		812	(0.0812 ms)
2600:		806	(0.0806 ms)
2601:		816	(0.0816 ms)
2602:		807	(0.0807 ms)
2603:		798	(0.0798 ms)
2604:		838	(0.0838 ms)
2605:		805	(0.0805 ms)
2606:		800	(0.08 ms)
2607:		858	(0.0858 ms)
2608:		807	(0.0807 ms)
2609:		805	(0.0805 ms)
2610:		843	(0.0843 ms)
2611:		824	(0.0824 ms)
2612:		804	(0.0804 ms)
2613:		845	(0.0845 ms)
2614:		809	(0.0809 ms)
2615:		807	(0.0807 ms)
2616:		846	(0.0846 ms)
2617:		803	(0.0803 ms)
2618:		768	(0.0768 ms)
2619:		827	(0.0827 ms)
2620:		805	(0.0805 ms)
2621:		801	(0.0801 ms)
2622:		851	(0.0851 ms)
2623:		806	(0.0806 ms)
2624:		816	(0.0816 ms)
2625:		846	(0.0846 ms)
2626:		806	(0.0806 ms)
2627:		804	(0.0804 ms)
2628:		839	(0.0839 ms)
2629:		808	(0.0808 ms)
2630:		804	(0.0804 ms)
2631:		807	(0.0807 ms)
2632:		845	(0.0845 ms)
2633:		803	(0.0803 ms)
2634:		809	(0.0809 ms)
2635:		843	(0.0843 ms)
2636:		813	(0.0813 ms)
2637:		808	(0.0808 ms)
2638:		848	(0.0848 ms)
2639:		806	(0.0806 ms)
2640:		804	(0.0804 ms)
2641:		851	(0.0851 ms)
2642:		783	(0.0783 ms)
2643:		795	(0.0795 ms)
2644:		838	(0.0838 ms)
2645:		804	(0.0804 ms)
2646:		803	(0.0803 ms)
2647:		839	(0.0839 ms)
2648:		814	(0.0814 ms)
2649:		806	(0.0806 ms)
2650:		844	(0.0844 ms)
2651:		807	(0.0807 ms)
2652:		805	(0.0805 ms)
2653:		842	(0.0842 ms)
2654:		811	(0.0811 ms)
2655:		795	(0.0795 ms)
2656:		842	(0.0842 ms)
2657:		811	(0.0811 ms)
2658:		812	(0.0812 ms)
2659:		840	(0.084 ms)
2660:		818	(0.0818 ms)
2661:		809	(0.0809 ms)
2662:		803	(0.0803 ms)
2663:		835	(0.0835 ms)
2664:		807	(0.0807 ms)
2665:		805	(0.0805 ms)
2666:		837	(0.0837 ms)
2667:		805	(0.0805 ms)
2668:		804	(0.0804 ms)
2669:		845	(0.0845 ms)
2670:		810	(0.081 ms)
2671:		804	(0.0804 ms)
2672:		870	(0.087 ms)
2673:		805	(0.0805 ms)
2674:		803	(0.0803 ms)
2675:		846	(0.0846 ms)
2676:		805	(0.0805 ms)
2677:		798	(0.0798 ms)
2678:		842	(0.0842 ms)
2679:		802	(0.0802 ms)
2680:		806	(0.0806 ms)
2681:		843	(0.0843 ms)
2682:		807	(0.0807 ms)
2683:		801	(0.0801 ms)
2684:		843	(0.0843 ms)
2685:		816	(0.0816 ms)
2686:		805	(0.0805 ms)
2687:		823	(0.0823 ms)
2688:		769	(0.0769 ms)
2689:		801	(0.0801 ms)
2690:		842	(0.0842 ms)
2691:		804	(0.0804 ms)
2692:		800	(0.08 ms)
2693:		799	(0.0799 ms)
2694:		842	(0.0842 ms)
2695:		807	(0.0807 ms)
2696:		801	(0.0801 ms)
2697:		850	(0.085 ms)
2698:		812	(0.0812 ms)
2699:		805	(0.0805 ms)
2700:		838	(0.0838 ms)
2701:		804	(0.0804 ms)
2702:		806	(0.0806 ms)
2703:		838	(0.0838 ms)
2704:		812	(0.0812 ms)
2705:		806	(0.0806 ms)
2706:		885	(0.0885 ms)
2707:		793	(0.0793 ms)
2708:		807	(0.0807 ms)
2709:		857	(0.0857 ms)
2710:		806	(0.0806 ms)
2711:		807	(0.0807 ms)
2712:		845	(0.0845 ms)
2713:		805	(0.0805 ms)
2714:		803	(0.0803 ms)
2715:		846	(0.0846 ms)
2716:		807	(0.0807 ms)
2717:		809	(0.0809 ms)
2718:		843	(0.0843 ms)
2719:		811	(0.0811 ms)
2720:		810	(0.081 ms)
2721:		868	(0.0868 ms)
2722:		815	(0.0815 ms)
2723:		807	(0.0807 ms)
2724:		840	(0.084 ms)
2725:		811	(0.0811 ms)
2726:		804	(0.0804 ms)
2727:		806	(0.0806 ms)
2728:		845	(0.0845 ms)
2729:		808	(0.0808 ms)
2730:		804	(0.0804 ms)
2731:		844	(0.0844 ms)
2732:		809	(0.0809 ms)
2733:		800	(0.08 ms)
2734:		852	(0.0852 ms)
2735:		806	(0.0806 ms)
2736:		807	(0.0807 ms)
2737:		857	(0.0857 ms)
2738:		805	(0.0805 ms)
2739:		803	(0.0803 ms)
2740:		847	(0.0847 ms)
2741:		809	(0.0809 ms)
2742:		803	(0.0803 ms)
2743:		839	(0.0839 ms)
2744:		808	(0.0808 ms)
2745:		806	(0.0806 ms)
2746:		856	(0.0856 ms)
2747:		805	(0.0805 ms)
2748:		807	(0.0807 ms)
2749:		838	(0.0838 ms)
2750:		788	(0.0788 ms)
2751:		802	(0.0802 ms)
2752:		842	(0.0842 ms)
2753:		798	(0.0798 ms)
2754:		800	(0.08 ms)
2755:		848	(0.0848 ms)
2756:		806	(0.0806 ms)
2757:		804	(0.0804 ms)
2758:		1644	(0.1644 ms)
2759:		1300	(0.13 ms)
2760:		1778	(0.1778 ms)
2761:		869	(0.0869 ms)
2762:		812	(0.0812 ms)
2763:		806	(0.0806 ms)
2764:		851	(0.0851 ms)
2765:		806	(0.0806 ms)
2766:		806	(0.0806 ms)
2767:		863	(0.0863 ms)
2768:		808	(0.0808 ms)
2769:		802	(0.0802 ms)
2770:		844	(0.0844 ms)
2771:		1120	(0.112 ms)
2772:		1106	(0.1106 ms)
2773:		1163	(0.1163 ms)
2774:		806	(0.0806 ms)
2775:		807	(0.0807 ms)
2776:		836	(0.0836 ms)
2777:		808	(0.0808 ms)
2778:		980	(0.098 ms)
2779:		1017	(0.1017 ms)
2780:		812	(0.0812 ms)
2781:		806	(0.0806 ms)
2782:		785	(0.0785 ms)
2783:		834	(0.0834 ms)
2784:		806	(0.0806 ms)
2785:		806	(0.0806 ms)
2786:		840	(0.084 ms)
2787:		805	(0.0805 ms)
2788:		801	(0.0801 ms)
2789:		840	(0.084 ms)
2790:		819	(0.0819 ms)
2791:		801	(0.0801 ms)
2792:		839	(0.0839 ms)
2793:		808	(0.0808 ms)
2794:		801	(0.0801 ms)
2795:		823	(0.0823 ms)
2796:		791	(0.0791 ms)
2797:		803	(0.0803 ms)
2798:		857	(0.0857 ms)
2799:		965	(0.0965 ms)
2800:		816	(0.0816 ms)
2801:		863	(0.0863 ms)
2802:		973	(0.0973 ms)
2803:		805	(0.0805 ms)
2804:		837	(0.0837 ms)
2805:		814	(0.0814 ms)
2806:		803	(0.0803 ms)
2807:		836	(0.0836 ms)
2808:		806	(0.0806 ms)
2809:		805	(0.0805 ms)
2810:		802	(0.0802 ms)
2811:		835	(0.0835 ms)
2812:		802	(0.0802 ms)
2813:		801	(0.0801 ms)
2814:		860	(0.086 ms)
2815:		807	(0.0807 ms)
2816:		802	(0.0802 ms)
2817:		816	(0.0816 ms)
2818:		761	(0.0761 ms)
2819:		762	(0.0762 ms)
2820:		831	(0.0831 ms)
2821:		806	(0.0806 ms)
2822:		803	(0.0803 ms)
2823:		837	(0.0837 ms)
2824:		805	(0.0805 ms)
2825:		803	(0.0803 ms)
2826:		857	(0.0857 ms)
2827:		806	(0.0806 ms)
2828:		803	(0.0803 ms)
2829:		843	(0.0843 ms)
2830:		799	(0.0799 ms)
2831:		804	(0.0804 ms)
2832:		848	(0.0848 ms)
2833:		804	(0.0804 ms)
2834:		799	(0.0799 ms)
2835:		837	(0.0837 ms)
2836:		957	(0.0957 ms)
2837:		816	(0.0816 ms)
2838:		980	(0.098 ms)
2839:		841	(0.0841 ms)
2840:		804	(0.0804 ms)
2841:		786	(0.0786 ms)
2842:		831	(0.0831 ms)
2843:		805	(0.0805 ms)
2844:		802	(0.0802 ms)
2845:		836	(0.0836 ms)
2846:		800	(0.08 ms)
2847:		801	(0.0801 ms)
2848:		852	(0.0852 ms)
2849:		804	(0.0804 ms)
2850:		798	(0.0798 ms)
2851:		852	(0.0852 ms)
2852:		806	(0.0806 ms)
2853:		802	(0.0802 ms)
2854:		844	(0.0844 ms)
2855:		807	(0.0807 ms)
2856:		781	(0.0781 ms)
2857:		828	(0.0828 ms)
2858:		810	(0.081 ms)
2859:		803	(0.0803 ms)
2860:		829	(0.0829 ms)
2861:		804	(0.0804 ms)
2862:		803	(0.0803 ms)
2863:		853	(0.0853 ms)
2864:		811	(0.0811 ms)
2865:		802	(0.0802 ms)
2866:		797	(0.0797 ms)
2867:		850	(0.085 ms)
2868:		802	(0.0802 ms)
2869:		801	(0.0801 ms)
2870:		840	(0.084 ms)
2871:		801	(0.0801 ms)
2872:		806	(0.0806 ms)
2873:		837	(0.0837 ms)
2874:		805	(0.0805 ms)
2875:		812	(0.0812 ms)
2876:		850	(0.085 ms)
2877:		804	(0.0804 ms)
2878:		805	(0.0805 ms)
2879:		844	(0.0844 ms)
2880:		803	(0.0803 ms)
2881:		806	(0.0806 ms)
2882:		852	(0.0852 ms)
2883:		807	(0.0807 ms)
2884:		808	(0.0808 ms)
2885:		840	(0.084 ms)
2886:		804	(0.0804 ms)
2887:		818	(0.0818 ms)
2888:		839	(0.0839 ms)
2889:		808	(0.0808 ms)
2890:		806	(0.0806 ms)
2891:		838	(0.0838 ms)
2892:		802	(0.0802 ms)
2893:		804	(0.0804 ms)
2894:		840	(0.084 ms)
2895:		810	(0.081 ms)
2896:		806	(0.0806 ms)
2897:		792	(0.0792 ms)
2898:		855	(0.0855 ms)
2899:		806	(0.0806 ms)
2900:		812	(0.0812 ms)
2901:		842	(0.0842 ms)
2902:		804	(0.0804 ms)
2903:		800	(0.08 ms)
2904:		837	(0.0837 ms)
2905:		803	(0.0803 ms)
2906:		803	(0.0803 ms)
2907:		842	(0.0842 ms)
2908:		807	(0.0807 ms)
2909:		801	(0.0801 ms)
2910:		832	(0.0832 ms)
2911:		805	(0.0805 ms)
2912:		815	(0.0815 ms)
2913:		854	(0.0854 ms)
2914:		807	(0.0807 ms)
2915:		802	(0.0802 ms)
2916:		846	(0.0846 ms)
2917:		808	(0.0808 ms)
2918:		801	(0.0801 ms)
2919:		839	(0.0839 ms)
2920:		804	(0.0804 ms)
2921:		805	(0.0805 ms)
2922:		839	(0.0839 ms)
2923:		810	(0.081 ms)
2924:		817	(0.0817 ms)
2925:		833	(0.0833 ms)
2926:		809	(0.0809 ms)
2927:		806	(0.0806 ms)
2928:		805	(0.0805 ms)
2929:		843	(0.0843 ms)
2930:		798	(0.0798 ms)
2931:		802	(0.0802 ms)
2932:		854	(0.0854 ms)
2933:		800	(0.08 ms)
2934:		804	(0.0804 ms)
2935:		849	(0.0849 ms)
2936:		834	(0.0834 ms)
2937:		1214	(0.1214 ms)
2938:		818	(0.0818 ms)
2939:		765	(0.0765 ms)
2940:		777	(0.0777 ms)
2941:		843	(0.0843 ms)
2942:		801	(0.0801 ms)
2943:		805	(0.0805 ms)
2944:		846	(0.0846 ms)
2945:		802	(0.0802 ms)
2946:		807	(0.0807 ms)
2947:		1061	(0.1061 ms)
2948:		934	(0.0934 ms)
2949:		808	(0.0808 ms)
2950:		847	(0.0847 ms)
2951:		805	(0.0805 ms)
2952:		765	(0.0765 ms)
2953:		832	(0.0832 ms)
2954:		802	(0.0802 ms)
2955:		802	(0.0802 ms)
2956:		845	(0.0845 ms)
2957:		810	(0.081 ms)
2958:		806	(0.0806 ms)
2959:		804	(0.0804 ms)
2960:		853	(0.0853 ms)
2961:		806	(0.0806 ms)
2962:		802	(0.0802 ms)
2963:		841	(0.0841 ms)
2964:		801	(0.0801 ms)
2965:		804	(0.0804 ms)
2966:		842	(0.0842 ms)
2967:		806	(0.0806 ms)
2968:		803	(0.0803 ms)
2969:		841	(0.0841 ms)
2970:		806	(0.0806 ms)
2971:		804	(0.0804 ms)
2972:		854	(0.0854 ms)
2973:		802	(0.0802 ms)
2974:		802	(0.0802 ms)
2975:		856	(0.0856 ms)
2976:		809	(0.0809 ms)
2977:		802	(0.0802 ms)
2978:		841	(0.0841 ms)
2979:		800	(0.08 ms)
2980:		804	(0.0804 ms)
2981:		843	(0.0843 ms)
2982:		807	(0.0807 ms)
2983:		803	(0.0803 ms)
2984:		847	(0.0847 ms)
2985:		804	(0.0804 ms)
2986:		799	(0.0799 ms)
2987:		834	(0.0834 ms)
2988:		808	(0.0808 ms)
2989:		803	(0.0803 ms)
2990:		803	(0.0803 ms)
2991:		851	(0.0851 ms)
2992:		798	(0.0798 ms)
2993:		799	(0.0799 ms)
2994:		845	(0.0845 ms)
2995:		807	(0.0807 ms)
2996:		801	(0.0801 ms)
2997:		1190	(0.119 ms)
2998:		807	(0.0807 ms)
2999:		803	(0.0803 ms)
3000:		847	(0.0847 ms)
3001:		804	(0.0804 ms)
3002:		806	(0.0806 ms)
3003:		835	(0.0835 ms)
3004:		805	(0.0805 ms)
3005:		802	(0.0802 ms)
3006:		849	(0.0849 ms)
3007:		801	(0.0801 ms)
3008:		804	(0.0804 ms)
3009:		855	(0.0855 ms)
3010:		782	(0.0782 ms)
3011:		788	(0.0788 ms)
3012:		837	(0.0837 ms)
3013:		809	(0.0809 ms)
3014:		801	(0.0801 ms)
3015:		837	(0.0837 ms)
3016:		805	(0.0805 ms)
3017:		806	(0.0806 ms)
3018:		834	(0.0834 ms)
3019:		805	(0.0805 ms)
3020:		804	(0.0804 ms)
3021:		813	(0.0813 ms)
3022:		846	(0.0846 ms)
3023:		808	(0.0808 ms)
3024:		803	(0.0803 ms)
3025:		850	(0.085 ms)
3026:		807	(0.0807 ms)
3027:		802	(0.0802 ms)
3028:		845	(0.0845 ms)
3029:		803	(0.0803 ms)
3030:		805	(0.0805 ms)
3031:		841	(0.0841 ms)
3032:		802	(0.0802 ms)
3033:		813	(0.0813 ms)
3034:		838	(0.0838 ms)
3035:		802	(0.0802 ms)
3036:		802	(0.0802 ms)
3037:		843	(0.0843 ms)
3038:		805	(0.0805 ms)
3039:		799	(0.0799 ms)
3040:		859	(0.0859 ms)
3041:		801	(0.0801 ms)
3042:		802	(0.0802 ms)
3043:		840	(0.084 ms)
3044:		801	(0.0801 ms)
3045:		801	(0.0801 ms)
3046:		851	(0.0851 ms)
3047:		804	(0.0804 ms)
3048:		799	(0.0799 ms)
3049:		834	(0.0834 ms)
3050:		804	(0.0804 ms)
3051:		794	(0.0794 ms)
3052:		800	(0.08 ms)
3053:		835	(0.0835 ms)
3054:		802	(0.0802 ms)
3055:		794	(0.0794 ms)
3056:		849	(0.0849 ms)
3057:		804	(0.0804 ms)
3058:		814	(0.0814 ms)
3059:		850	(0.085 ms)
3060:		803	(0.0803 ms)
3061:		807	(0.0807 ms)
3062:		843	(0.0843 ms)
3063:		803	(0.0803 ms)
3064:		800	(0.08 ms)
3065:		842	(0.0842 ms)
3066:		807	(0.0807 ms)
3067:		805	(0.0805 ms)
3068:		844	(0.0844 ms)
3069:		804	(0.0804 ms)
3070:		816	(0.0816 ms)
3071:		846	(0.0846 ms)
3072:		806	(0.0806 ms)
3073:		804	(0.0804 ms)
3074:		849	(0.0849 ms)
3075:		806	(0.0806 ms)
3076:		800	(0.08 ms)
3077:		840	(0.084 ms)
3078:		808	(0.0808 ms)
3079:		800	(0.08 ms)
3080:		833	(0.0833 ms)
3081:		809	(0.0809 ms)
3082:		814	(0.0814 ms)
3083:		805	(0.0805 ms)
3084:		846	(0.0846 ms)
3085:		806	(0.0806 ms)
3086:		802	(0.0802 ms)
3087:		846	(0.0846 ms)
3088:		809	(0.0809 ms)
3089:		801	(0.0801 ms)
3090:		857	(0.0857 ms)
3091:		805	(0.0805 ms)
3092:		802	(0.0802 ms)
3093:		845	(0.0845 ms)
3094:		812	(0.0812 ms)
3095:		802	(0.0802 ms)
3096:		840	(0.084 ms)
3097:		805	(0.0805 ms)
3098:		803	(0.0803 ms)
3099:		843	(0.0843 ms)
3100:		800	(0.08 ms)
3101:		801	(0.0801 ms)
3102:		839	(0.0839 ms)
3103:		802	(0.0802 ms)
3104:		798	(0.0798 ms)
3105:		848	(0.0848 ms)
3106:		801	(0.0801 ms)
3107:		814	(0.0814 ms)
3108:		844	(0.0844 ms)
3109:		804	(0.0804 ms)
3110:		796	(0.0796 ms)
3111:		838	(0.0838 ms)
3112:		804	(0.0804 ms)
3113:		804	(0.0804 ms)
3114:		799	(0.0799 ms)
3115:		833	(0.0833 ms)
3116:		801	(0.0801 ms)
3117:		802	(0.0802 ms)
3118:		844	(0.0844 ms)
3119:		1190	(0.119 ms)
3120:		1305	(0.1305 ms)
3121:		1685	(0.1685 ms)
3122:		813	(0.0813 ms)
3123:		809	(0.0809 ms)
3124:		1147	(0.1147 ms)
3125:		814	(0.0814 ms)
3126:		807	(0.0807 ms)
3127:		1227	(0.1227 ms)
3128:		813	(0.0813 ms)
3129:		803	(0.0803 ms)
3130:		1001	(0.1001 ms)
3131:		961	(0.0961 ms)
3132:		805	(0.0805 ms)
3133:		836	(0.0836 ms)
3134:		806	(0.0806 ms)
3135:		953	(0.0953 ms)
3136:		1013	(0.1013 ms)
3137:		804	(0.0804 ms)
3138:		799	(0.0799 ms)
3139:		844	(0.0844 ms)
3140:		802	(0.0802 ms)
3141:		803	(0.0803 ms)
3142:		843	(0.0843 ms)
3143:		802	(0.0802 ms)
3144:		797	(0.0797 ms)
3145:		830	(0.083 ms)
3146:		799	(0.0799 ms)
3147:		798	(0.0798 ms)
3148:		833	(0.0833 ms)
3149:		801	(0.0801 ms)
3150:		803	(0.0803 ms)
3151:		801	(0.0801 ms)
3152:		855	(0.0855 ms)
3153:		800	(0.08 ms)
3154:		801	(0.0801 ms)
3155:		843	(0.0843 ms)
3156:		800	(0.08 ms)
3157:		803	(0.0803 ms)
3158:		845	(0.0845 ms)
3159:		801	(0.0801 ms)
3160:		797	(0.0797 ms)
3161:		841	(0.0841 ms)
3162:		802	(0.0802 ms)
3163:		804	(0.0804 ms)
3164:		854	(0.0854 ms)
3165:		804	(0.0804 ms)
3166:		799	(0.0799 ms)
3167:		847	(0.0847 ms)
3168:		806	(0.0806 ms)
3169:		799	(0.0799 ms)
3170:		849	(0.0849 ms)
3171:		805	(0.0805 ms)
3172:		801	(0.0801 ms)
3173:		841	(0.0841 ms)
3174:		806	(0.0806 ms)
3175:		803	(0.0803 ms)
3176:		844	(0.0844 ms)
3177:		785	(0.0785 ms)
3178:		798	(0.0798 ms)
3179:		800	(0.08 ms)
3180:		840	(0.084 ms)
3181:		804	(0.0804 ms)
3182:		798	(0.0798 ms)
3183:		835	(0.0835 ms)
3184:		799	(0.0799 ms)
3185:		796	(0.0796 ms)
3186:		850	(0.085 ms)
3187:		803	(0.0803 ms)
3188:		803	(0.0803 ms)
3189:		856	(0.0856 ms)
3190:		796	(0.0796 ms)
3191:		806	(0.0806 ms)
3192:		842	(0.0842 ms)
3193:		806	(0.0806 ms)
3194:		801	(0.0801 ms)
3195:		845	(0.0845 ms)
3196:		811	(0.0811 ms)
3197:		802	(0.0802 ms)
3198:		841	(0.0841 ms)
3199:		807	(0.0807 ms)
3200:		788	(0.0788 ms)
3201:		830	(0.083 ms)
3202:		789	(0.0789 ms)
3203:		799	(0.0799 ms)
3204:		833	(0.0833 ms)
3205:		802	(0.0802 ms)
3206:		806	(0.0806 ms)
3207:		802	(0.0802 ms)
3208:		841	(0.0841 ms)
3209:		804	(0.0804 ms)
3210:		801	(0.0801 ms)
3211:		840	(0.084 ms)
3212:		806	(0.0806 ms)
3213:		812	(0.0812 ms)
3214:		839	(0.0839 ms)
3215:		805	(0.0805 ms)
3216:		798	(0.0798 ms)
3217:		854	(0.0854 ms)
3218:		806	(0.0806 ms)
3219:		802	(0.0802 ms)
3220:		852	(0.0852 ms)
3221:		804	(0.0804 ms)
3222:		804	(0.0804 ms)
3223:		842	(0.0842 ms)
3224:		803	(0.0803 ms)
3225:		813	(0.0813 ms)
3226:		840	(0.084 ms)
3227:		805	(0.0805 ms)
3228:		804	(0.0804 ms)
3229:		841	(0.0841 ms)
3230:		803	(0.0803 ms)
3231:		806	(0.0806 ms)
3232:		847	(0.0847 ms)
3233:		811	(0.0811 ms)
3234:		805	(0.0805 ms)
3235:		830	(0.083 ms)
3236:		791	(0.0791 ms)
3237:		816	(0.0816 ms)
3238:		813	(0.0813 ms)
3239:		835	(0.0835 ms)
3240:		805	(0.0805 ms)
3241:		800	(0.08 ms)
3242:		843	(0.0843 ms)
3243:		805	(0.0805 ms)
3244:		803	(0.0803 ms)
3245:		836	(0.0836 ms)
3246:		805	(0.0805 ms)
3247:		802	(0.0802 ms)
3248:		833	(0.0833 ms)
3249:		804	(0.0804 ms)
3250:		812	(0.0812 ms)
3251:		840	(0.084 ms)
3252:		809	(0.0809 ms)
3253:		804	(0.0804 ms)
3254:		820	(0.082 ms)
3255:		803	(0.0803 ms)
3256:		801	(0.0801 ms)
3257:		842	(0.0842 ms)
3258:		805	(0.0805 ms)
3259:		801	(0.0801 ms)
3260:		833	(0.0833 ms)
3261:		809	(0.0809 ms)
3262:		813	(0.0813 ms)
3263:		835	(0.0835 ms)
3264:		806	(0.0806 ms)
3265:		807	(0.0807 ms)
3266:		801	(0.0801 ms)
3267:		850	(0.085 ms)
3268:		807	(0.0807 ms)
3269:		801	(0.0801 ms)
3270:		846	(0.0846 ms)
3271:		802	(0.0802 ms)
3272:		801	(0.0801 ms)
3273:		841	(0.0841 ms)
3274:		818	(0.0818 ms)
3275:		804	(0.0804 ms)
3276:		847	(0.0847 ms)
3277:		805	(0.0805 ms)
3278:		800	(0.08 ms)
3279:		837	(0.0837 ms)
3280:		802	(0.0802 ms)
3281:		801	(0.0801 ms)
3282:		841	(0.0841 ms)
3283:		807	(0.0807 ms)
3284:		804	(0.0804 ms)
3285:		845	(0.0845 ms)
3286:		802	(0.0802 ms)
3287:		811	(0.0811 ms)
3288:		838	(0.0838 ms)
3289:		802	(0.0802 ms)
3290:		805	(0.0805 ms)
3291:		838	(0.0838 ms)
3292:		801	(0.0801 ms)
3293:		803	(0.0803 ms)
3294:		836	(0.0836 ms)
3295:		811	(0.0811 ms)
3296:		802	(0.0802 ms)
3297:		800	(0.08 ms)
3298:		840	(0.084 ms)
3299:		1077	(0.1077 ms)
3300:		961	(0.0961 ms)
3301:		858	(0.0858 ms)
3302:		806	(0.0806 ms)
3303:		805	(0.0805 ms)
3304:		836	(0.0836 ms)
3305:		805	(0.0805 ms)
3306:		801	(0.0801 ms)
3307:		836	(0.0836 ms)
3308:		806	(0.0806 ms)
3309:		799	(0.0799 ms)
3310:		837	(0.0837 ms)
3311:		819	(0.0819 ms)
3312:		805	(0.0805 ms)
3313:		849	(0.0849 ms)
3314:		806	(0.0806 ms)
3315:		802	(0.0802 ms)
3316:		850	(0.085 ms)
3317:		808	(0.0808 ms)
3318:		804	(0.0804 ms)
3319:		839	(0.0839 ms)
3320:		802	(0.0802 ms)
3321:		787	(0.0787 ms)
3322:		830	(0.083 ms)
3323:		814	(0.0814 ms)
3324:		798	(0.0798 ms)
3325:		835	(0.0835 ms)
3326:		799	(0.0799 ms)
3327:		800	(0.08 ms)
3328:		801	(0.0801 ms)
3329:		838	(0.0838 ms)
3330:		806	(0.0806 ms)
3331:		802	(0.0802 ms)
3332:		855	(0.0855 ms)
3333:		804	(0.0804 ms)
3334:		801	(0.0801 ms)
3335:		851	(0.0851 ms)
3336:		804	(0.0804 ms)
3337:		802	(0.0802 ms)
