
Minimum time:  760	(0.076 ms)

Test #		Time
213:		916	(0.0916 ms)
214:		838	(0.0838 ms)
215:		843	(0.0843 ms)
216:		828	(0.0828 ms)
217:		823	(0.0823 ms)
218:		872	(0.0872 ms)
219:		824	(0.0824 ms)
220:		819	(0.0819 ms)
221:		872	(0.0872 ms)
222:		824	(0.0824 ms)
223:		820	(0.082 ms)
224:		857	(0.0857 ms)
225:		831	(0.0831 ms)
226:		820	(0.082 ms)
227:		845	(0.0845 ms)
228:		821	(0.0821 ms)
229:		818	(0.0818 ms)
230:		858	(0.0858 ms)
231:		822	(0.0822 ms)
232:		824	(0.0824 ms)
233:		859	(0.0859 ms)
234:		820	(0.082 ms)
235:		822	(0.0822 ms)
236:		879	(0.0879 ms)
237:		838	(0.0838 ms)
238:		822	(0.0822 ms)
239:		862	(0.0862 ms)
240:		830	(0.083 ms)
241:		822	(0.0822 ms)
242:		801	(0.0801 ms)
243:		856	(0.0856 ms)
244:		819	(0.0819 ms)
245:		816	(0.0816 ms)
246:		855	(0.0855 ms)
247:		814	(0.0814 ms)
248:		822	(0.0822 ms)
249:		869	(0.0869 ms)
250:		822	(0.0822 ms)
251:		823	(0.0823 ms)
252:		867	(0.0867 ms)
253:		822	(0.0822 ms)
254:		819	(0.0819 ms)
255:		866	(0.0866 ms)
256:		822	(0.0822 ms)
257:		821	(0.0821 ms)
258:		859	(0.0859 ms)
259:		820	(0.082 ms)
260:		823	(0.0823 ms)
261:		869	(0.0869 ms)
262:		823	(0.0823 ms)
263:		821	(0.0821 ms)
264:		857	(0.0857 ms)
265:		820	(0.082 ms)
266:		819	(0.0819 ms)
267:		862	(0.0862 ms)
268:		826	(0.0826 ms)
269:		820	(0.082 ms)
270:		830	(0.083 ms)
271:		819	(0.0819 ms)
272:		820	(0.082 ms)
273:		828	(0.0828 ms)
274:		841	(0.0841 ms)
275:		778	(0.0778 ms)
276:		790	(0.079 ms)
277:		855	(0.0855 ms)
278:		824	(0.0824 ms)
279:		818	(0.0818 ms)
280:		859	(0.0859 ms)
281:		821	(0.0821 ms)
282:		818	(0.0818 ms)
283:		857	(0.0857 ms)
284:		819	(0.0819 ms)
285:		825	(0.0825 ms)
286:		874	(0.0874 ms)
287:		824	(0.0824 ms)
288:		819	(0.0819 ms)
289:		860	(0.086 ms)
290:		825	(0.0825 ms)
291:		817	(0.0817 ms)
292:		854	(0.0854 ms)
293:		819	(0.0819 ms)
294:		817	(0.0817 ms)
295:		879	(0.0879 ms)
296:		824	(0.0824 ms)
297:		832	(0.0832 ms)
298:		827	(0.0827 ms)
299:		860	(0.086 ms)
300:		825	(0.0825 ms)
301:		821	(0.0821 ms)
302:		874	(0.0874 ms)
303:		823	(0.0823 ms)
304:		821	(0.0821 ms)
305:		856	(0.0856 ms)
306:		822	(0.0822 ms)
307:		820	(0.082 ms)
308:		861	(0.0861 ms)
309:		830	(0.083 ms)
310:		821	(0.0821 ms)
311:		859	(0.0859 ms)
312:		830	(0.083 ms)
313:		824	(0.0824 ms)
314:		863	(0.0863 ms)
315:		825	(0.0825 ms)
316:		815	(0.0815 ms)
317:		866	(0.0866 ms)
318:		826	(0.0826 ms)
